Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),LIVING_UNIT1:Zone People Occupant Count [](TimeStep),LIVING_UNIT1:Zone Mean Air Temperature [C](TimeStep),ATTIC_UNIT1:Zone Mean Air Temperature [C](TimeStep),LIVING_UNIT1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),ATTIC_UNIT1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),HTGSETP_SCH:Schedule Value [](TimeStep),CLGSETP_SCH:Schedule Value [](TimeStep),CENTRAL SYSTEM_UNIT1:Air System Total Cooling Energy [J](TimeStep) 
 08/21  01:30:00,25.810000000000004,2.69079,24.00000424304109,24.01400685711819,24.0,0.0,15.6,24.0,1562885.5374854587 
 08/21  01:45:00,25.739000000000006,2.69079,24.000004254564716,23.91831751734987,24.0,0.0,15.6,24.0,1501880.2856035019 
 08/21  02:00:00,25.668000000000004,2.69079,24.000004252795568,23.828279203764774,24.0,0.0,15.6,24.0,1445774.354441769 
 08/21  02:15:00,25.614750000000006,3.0,24.000004261627315,23.744821779625135,24.0,0.0,15.6,24.0,1427443.9569328672 
 08/21  02:30:00,25.561500000000004,3.0,24.000004261024498,23.66780630308273,24.0,0.0,15.6,24.0,1381183.5783064843 
 08/21  02:45:00,25.508250000000005,3.0,24.00000421133701,23.5964531697749,24.0,0.0,15.6,24.0,1338610.5513761959 
 08/21  03:00:00,25.455000000000007,3.0,24.00000419536433,23.529177766827556,24.0,0.0,15.6,24.0,1298706.2446097113 
 08/21  03:15:00,25.401750000000005,2.69079,24.000004153423647,23.464724497812929,24.0,0.0,15.6,24.0,1223696.1715215573 
 08/21  03:30:00,25.3485,2.69079,24.000004126847768,23.402480052202063,24.0,0.0,15.6,24.0,1186705.5153927555 
 08/21  03:45:00,25.295250000000004,2.69079,24.000004109606026,23.342081368010758,24.0,0.0,15.6,24.0,1152024.895539598 
 08/21  04:00:00,25.242000000000006,2.69079,24.000004083332759,23.283201118853133,24.0,0.0,15.6,24.0,1119144.9192809209 
 08/21  04:15:00,25.206500000000007,3.0,24.000004083205654,23.228143668422598,24.0,0.0,15.6,24.0,1147480.1441450117 
 08/21  04:30:00,25.171000000000004,3.0,24.000004105760568,23.17744798051774,24.0,0.0,15.6,24.0,1126571.6960105706 
 08/21  04:45:00,25.135500000000005,3.0,24.000004095888987,23.130402660636894,24.0,0.0,15.6,24.0,1104786.676905551 
 08/21  05:00:00,25.1,3.0,24.00000407664139,23.0860472578168,24.0,0.0,15.6,24.0,1083345.318993809 
 08/21  05:15:00,25.135500000000005,2.69079,24.00000410970368,23.054073570880566,24.0,0.0,15.6,24.0,1102367.8904550174 
 08/21  05:30:00,25.171000000000004,2.69079,24.000004105828027,23.037393728366163,24.0,0.0,15.6,24.0,1114518.8517758868 
 08/21  05:45:00,25.206500000000007,2.69079,24.00000432063908,23.086852874472386,24.0,0.0,15.6,24.0,1346570.5901408455 
 08/21  06:00:00,25.242000000000006,2.69079,24.000004277568597,23.289496972746258,24.0,0.0,15.6,24.0,1624395.1471307497 
 08/21  06:15:00,25.36625,3.0,24.000002617417978,23.612310800828295,24.0,0.0,15.6,24.0,1966186.0666931133 
 08/21  06:30:00,25.490500000000006,3.0,24.00006009804146,24.24514364204218,24.0,0.0,15.6,24.0,2217521.6934360547 
 08/21  06:45:00,25.614750000000006,3.0,24.000002282484073,24.808445283862619,24.0,0.0,15.6,24.0,2429288.999824911 
 08/21  07:00:00,25.739000000000006,3.0,24.000037862808197,25.81989141478434,24.0,0.0,15.6,24.0,2613793.0095677964 
 08/21  07:15:00,26.040750000000004,2.6493,24.000001440389906,26.70245222515036,24.0,0.0,15.6,24.0,2804473.3360736139 
 08/21  07:30:00,26.342500000000006,2.6493,24.000000884416769,27.856049693455434,24.000000000000005,0.0,15.6,24.0,3036570.9679853238 
 08/21  07:45:00,26.644250000000004,2.6493,24.000024740758908,29.392343354689346,24.000000000000005,0.0,15.6,24.0,3232070.1761822297 
 08/21  08:00:00,26.946000000000006,2.6493,24.00003205191322,30.770889352624527,24.000000000000005,0.0,15.6,24.0,3419202.320814678 
 08/21  08:15:00,27.283250000000004,1.22583,24.00002638469369,32.19498049690001,24.000000000000005,0.0,15.6,24.0,3394775.4647953847 
 08/21  08:30:00,27.620500000000005,1.22583,24.000024973480973,33.63219607777421,24.000000000000005,0.0,15.6,24.0,3562366.8537768397 
 08/21  08:45:00,27.957750000000006,1.22583,24.000023703504426,35.073627257748388,24.000000000000005,0.0,15.6,24.0,3730521.3516565698 
 08/21  09:00:00,28.295,1.22583,24.000022638335659,36.49918300457297,24.000000000000005,0.0,15.6,24.0,3897256.0602433888 
 08/21  09:15:00,28.596750000000005,0.72567,24.000020951125895,37.892713327011708,24.000000000000005,0.0,15.6,24.0,3973573.3202204687 
 08/21  09:30:00,28.898500000000003,0.72567,24.000019516132743,39.24399671595321,24.000000000000005,0.0,15.6,24.0,4116145.051130848 
 08/21  09:45:00,29.200250000000005,0.72567,24.000018060632365,40.544864581472797,24.000000000000005,0.0,15.6,24.0,4251139.816080586 
 08/21  10:00:00,29.502000000000004,0.72567,24.00045748696072,41.789286758395849,24.000000000000005,0.0,15.6,24.0,4376890.843308242 
 08/21  10:15:00,29.768250000000003,0.72567,24.000502977092695,42.845471353649958,24.0,0.0,15.6,24.0,4504854.464680598 
 08/21  10:30:00,30.0345,0.72567,24.00049289167794,44.06814604488899,24.0,0.0,15.6,24.0,4605509.141286857 
 08/21  10:45:00,30.300750000000006,0.72567,24.000473935822677,45.10186818777202,24.0,0.0,15.6,24.0,4691812.536708268 
 08/21  11:00:00,30.567000000000005,0.72567,24.00044275296277,46.053887208001828,24.0,0.0,15.6,24.0,4773762.06266883 
 08/21  11:15:00,30.744500000000003,0.72567,24.910745514120618,46.91123293333308,25.0,0.0,15.6,25.0,2665623.6260988309 
 08/21  11:30:00,30.922000000000005,0.72567,24.99928890087422,47.58648851213993,24.999999999999998,0.0,15.6,25.0,3260827.441604253 
 08/21  11:45:00,31.099500000000004,0.72567,24.99995649544106,48.34196259759441,24.999999999999998,0.0,15.6,25.0,3780297.5831953145 
 08/21  12:00:00,31.277000000000006,0.72567,24.999973566920326,48.915749337091657,24.999999999999998,0.0,15.6,25.0,4007308.333904372 
 08/21  12:15:00,31.419000000000005,0.72567,25.000903353314038,49.30231891087713,25.0,0.0,15.6,25.0,4189250.8634042039 
 08/21  12:30:00,31.561000000000005,0.72567,25.000898664448099,49.783743701821887,25.0,0.0,15.6,25.0,4363839.7335052699 
 08/21  12:45:00,31.703000000000004,0.72567,25.000831768699724,50.050865520059279,25.0,0.0,15.6,25.0,4535446.166056095 
 08/21  13:00:00,31.845000000000004,0.72567,25.00107427094727,50.25221559515063,25.0,0.0,15.6,25.0,4700696.315489746 
